Game,Player,Birds,BonusCards,EndOfRoundGoals,Eggs,FoodOnCards,TuckedCards,Nectar,TotalRecorded,Total
T_1,T,24,0,12,10,1,15,NA,62,62
K_1,K,38,4,4,2,2,1,NA,51,51
T_2,T,38,3,9,4,9,4,NA,68,67
K_2,K,40,6,7,3,2,0,NA,58,58
T_3,T,22,3,6,4,7,7,NA,59,49
K_3,K,40,4,10,14,2,4,NA,74,74
T_4,T,29,7,14,3,7,5,NA,65,65
K_4,K,38,4,14,10,2,0,NA,68,68
T_5,T,31,19,7,4,4,4,NA,69,69
K_5,K,43,8,8,0,7,0,NA,66,66
T_6,T,29,3,11,13,4,11,NA,71,71
K_6,K,25,2,9,10,4,9,NA,59,59
T_7,T,46,3,7,11,5,2,NA,74,74
K_7,K,33,0,11,14,4,11,NA,69,73
T_8,T,31,3,12,4,9,4,NA,63,63
K_8,K,38,0,15,15,2,1,NA,71,71
T_9,T,45,0,13,11,3,5,NA,77,77
K_9,K,39,7,12,18,0,4,NA,80,80
T_10,T,28,3,7,17,4,0,NA,55,59
K_10,K,30,3,5,15,3,7,NA,64,63
T_11,T,30,10,16,22,7,8,NA,93,93
K_11,K,49,17,9,8,2,7,NA,82,92
T_12,T,32,8,10,11,11,9,NA,81,81
K_12,K,47,2,9,11,2,0,NA,71,71
T_13,T,42,12,12,29,2,7,NA,106,104
K_13,K,32,6,10,19,2,5,NA,75,74
T_14,T,53,12,15,4,6,4,NA,94,94
K_14,K,48,6,15,11,8,1,NA,89,89
T_15,T,30,7,7,5,11,8,NA,68,68
K_15,K,40,10,14,19,7,0,NA,90,90
T_16,T,30,7,9,18,11,0,NA,75,75
K_16,K,26,6,9,11,2,14,NA,68,68
T_17,T,44,6,12,8,5,23,NA,98,98
K_17,K,47,8,15,4,3,1,NA,75,78
T_18,T,38,11,12,17,5,8,NA,92,91
K_18,K,37,11,9,15,3,4,NA,79,79
T_19,T,30,7,6,5,2,0,NA,50,50
K_19,K,31,9,6,10,4,6,NA,66,66
T_20,T,43,6,8,15,6,1,NA,79,79
K_20,K,41,6,8,16,3,2,NA,76,76
T_21,T,39,12,11,16,6,4,NA,88,88
K_21,K,29,8,16,16,5,6,NA,82,80
T_22,T,30,0,11,19,4,24,NA,88,88
K_22,K,54,7,11,16,4,4,NA,100,96
T_23,T,16,15,16,17,1,8,NA,73,73
K_23,K,26,10,17,14,5,4,NA,76,76
T_24,T,30,3,5,10,2,14,NA,64,64
K_24,K,35,22,6,9,5,6,NA,85,83
T_25,T,37,8,4,2,6,8,NA,65,65
K_25,K,39,8,8,16,1,6,NA,78,78
T_26,T,29,9,14,32,5,3,NA,92,92
K_26,K,42,17,11,18,4,4,NA,96,96
T_27,T,24,7,6,0,9,19,NA,65,65
K_27,K,23,4,11,17,1,7,NA,64,63
T_28,T,24,6,16,14,2,12,NA,74,74
K_28,K,30,11,10,15,2,5,NA,73,73
T_29,T,46,7,9,8,7,3,NA,80,80
K_29,K,46,13,9,21,3,1,NA,93,93
T_30,T,22,0,7,15,10,17,NA,77,71
K_30,K,25,7,14,18,3,6,NA,73,73
T_31,T,21,0,5,12,12,37,NA,87,87
K_31,K,31,7,9,16,2,10,NA,75,75
T_32,T,39,6,10,2,18,7,NA,82,82
K_32,K,32,8,11,5,7,5,NA,68,68
T_33,T,41,6,9,19,5,4,NA,84,84
K_33,K,33,8,7,21,5,11,NA,85,85
T_34,T,51,7,8,7,1,2,NA,77,76
K_34,K,38,10,8,12,2,6,NA,76,76
T_35,T,20,3,11,12,8,9,NA,63,63
K_35,K,25,4,11,16,0,14,NA,60,70
T_36,T,34,2,9,21,13,5,NA,84,84
K_36,K,38,11,8,3,0,0,NA,60,60
T_37,T,41,9,11,19,15,0,NA,95,95
K_37,K,33,6,6,10,9,5,NA,79,69
T_38,T,33,3,5,23,3,0,NA,67,67
K_38,K,17,4,12,24,5,2,NA,64,64
T_39,T,18,10,18,27,0,22,NA,95,95
K_39,K,32,9,16,21,2,0,NA,80,80
T_40,T,38,11,9,4,1,10,15,88,88
K_40,K,38,8,13,16,4,13,4,97,96
T_41,T,44,0,6,9,8,3,13,83,83
K_41,K,31,6,11,9,15,5,7,84,84
T_42,T,34,6,12,14,0,11,11,88,88
K_42,K,41,5,3.5,21,10,0,5.3,85.5,85.8
TB_1,TB,31,2,6.5,22,0,7,3.3,71.8,71.8
RH_1,RH,27,3,13.5,33,5,5,0.3,86.8,86.8
T_43,T,34,10,9.5,22,6,0,8.4,89.9,89.9
K_43,K,37,0,4.5,23,4,12,3.4,83.9,83.9
TB_2,TB,48,0,18,2,1,2,3.6,74.6,74.6
RH_2,RH,26,3,1.5,13,9,7,1.6,61.1,61.1
T_44,T,36,3,13,22,1,7,12.5,94.5,94.5
K_44,K,42,9,12,12,0,3,6.5,84.5,84.5
T_45,T,28,7,11,16,0,0,12,74,74
K_45,K,22,0,15,30,0,16,9,93,92
T_46,T,21,8,7,4,8,10,9,67,67
K_46,K,44,6,11,9,5,6,9,90,90
